region,country,Total_Population,Adults_over_18,Age18_24,Age25_49,Age50_59,Age60_69,Age70_79,Age80+,HCW
PT,Portugal,101.82,100,99.64,100,100,100,100,100,NA
MT,Malta,103.75,94.7,93.49,92.99,91.85,96.13,100,100,97.78
IE,Ireland,106.07,94.69,87.97,89.34,98.47,99.57,100,100,100
FR,France,102.45,93.84,96.23,93.78,94.43,93.07,95.21,89.16,NA
NO,Norway,101.42,93.34,92.26,89.9,95.34,97.05,98.84,96.16,NA
ES,Spain,105.33,93.04,89.28,88.49,94.96,96.89,99.27,100,97.37
IT,Italy,101.06,92.46,93.68,88.63,92.59,94.78,95.36,99.15,NA
IS,Iceland,92.15,92.15,89.19,87.32,93.81,97.55,100,100,100
DK,Denmark,91.88,91.88,85.54,86.41,94.7,97.64,98.88,100,99.58
FI,Finland,100.99,90.98,86.2,87.16,92.46,94.47,96.97,96.11,NA
BE,Belgium,99.98,90.7,83.87,85.53,91.85,96.06,100,100,75.39
SE,Sweden,88.86,88.86,83.25,83.57,91.64,93.61,96.96,99.05,83.93
CY,Cyprus,86.8,86.81,76.44,84.81,87.46,91.42,96.29,97.54,NA
AT,Austria,93.11,86.09,82.51,81.51,85.59,90.93,90.59,100,NA
NL,Netherlands,85.13,84.06,74.43,77.2,88.02,92.47,95.6,90.82,NA
EL,Greece,89.38,83.94,75.66,79.9,84.21,90.97,90.66,89.03,93.1
LU,Luxembourg,82.9,82.9,76.16,78.86,87.24,87.59,89.13,98.58,87.63
LT,Lithuania,84.98,81.07,80.24,82.01,82.67,83.98,81.96,65.24,NA
LV,Latvia,84.81,79.5,82.23,80.4,82.01,81.55,77.24,64.76,78.12
LI,Liechtenstein,77.8,77.8,74.15,71.69,77.04,81.98,90.89,94.97,NA
CZ,Czechia,80.15,75.34,70.96,67.11,77.67,81.53,91.11,91.47,100
HU,Hungary,79.12,73.71,58.8,68.75,76.5,82.67,86.95,77.04,100
EE,Estonia,78.53,73.6,72.99,69.31,75.28,76.95,81.05,77.87,83.21
SI,Slovenia,71.27,68.75,60.8,59.28,72.24,78.06,85.41,78.51,74.09
HR,Croatia,69.19,68.15,49.18,61.15,73.65,80.91,82.86,65.56,79.85
PL,Poland,67.29,67.29,59.5,61.74,69.93,75.87,82.11,66.67,NA
SK,Slovakia,61.21,61.21,54.4,53.86,62.8,70.33,81.69,71.94,NA
RO,Romania,52.58,50.63,50.22,51.39,55.88,54.23,47.61,26.75,97.3
BG,Bulgaria,36.56,36.05,28.66,33.79,39.34,42.05,40.32,26.54,29.32
DE,Germany,93.25,NA,NA,NA,NA,NA,NA,NA,NA
